case	id	sex	deg	yrdeg	field	startyr	year	rank	admin	salary	salary_increment
38	9	M	PhD	82	Other	87	94	Assoc	0	5318	0
39	9	M	PhD	82	Other	87	95	Assoc	0	5472	154
40	10	M	PhD	68	Arts	80	80	Assoc	0	3250	NA
41	10	M	PhD	68	Arts	80	81	Assoc	0	3671	421
42	10	M	PhD	68	Arts	80	82	Assoc	0	3831	160
43	10	M	PhD	68	Arts	80	83	Assoc	0	4042	211
44	10	M	PhD	68	Arts	80	84	Assoc	0	4317	275
45	10	M	PhD	68	Arts	80	85	Assoc	0	4317	0
46	10	M	PhD	68	Arts	80	86	Assoc	0	4708	391
47	10	M	PhD	68	Arts	80	87	Assoc	0	4944	236
48	10	M	PhD	68	Arts	80	88	Assoc	0	5015	71
49	10	M	PhD	68	Arts	80	89	Assoc	1	5846	831
50	10	M	PhD	68	Arts	80	90	Assoc	1	6120	274
51	10	M	PhD	68	Arts	80	91	Assoc	1	6590	470
52	10	M	PhD	68	Arts	80	92	Assoc	1	6781	191
53	10	M	PhD	68	Arts	80	93	Full	1	7180	399
54	10	M	PhD	68	Arts	80	94	Full	0	7180	0
55	10	M	PhD	68	Arts	80	95	Full	0	7494	314
56	12	M	PhD	64	Other	64	76	Full	0	2339	NA
57	12	M	PhD	64	Other	64	77	Full	0	2502	163
58	12	M	PhD	64	Other	64	78	Full	0	2628	126
59	12	M	PhD	64	Other	64	79	Full	0	2895	267
60	12	M	PhD	64	Other	64	80	Full	0	3058	163
61	12	M	PhD	64	Other	64	81	Full	0	3417	359
62	12	M	PhD	64	Other	64	82	Full	0	3619	202
63	12	M	PhD	64	Other	64	83	Full	0	4798	1179
64	12	M	PhD	64	Other	64	84	Full	0	5052	254
65	12	M	PhD	64	Other	64	85	Full	0	5052	0
66	12	M	PhD	64	Other	64	86	Full	0	5203	151
67	12	M	PhD	64	Other	64	87	Full	0	5464	261
68	12	M	PhD	64	Other	64	88	Full	0	5786	322
69	12	M	PhD	64	Other	64	89	Full	0	7743.284	1957.284
70	12	M	PhD	64	Other	64	90	Full	0	8145	401.716
71	12	M	PhD	64	Other	64	91	Full	0	8523	378
72	12	M	PhD	64	Other	64	92	Full	0	8770	247
73	12	M	PhD	64	Other	64	93	Full	0	9025	255
74	12	M	PhD	64	Other	64	94	Full	0	9025	0
75	12	M	PhD	64	Other	64	95	Full	0	9286	261
76	13	M	PhD	68	Prof	69	76	Assoc	0	1875	NA
77	13	M	PhD	68	Prof	69	77	Assoc	0	2136	261
78	13	M	PhD	68	Prof	69	78	Assoc	0	2256	120
79	13	M	PhD	68	Prof	69	79	Assoc	0	2540	284
80	13	M	PhD	68	Prof	69	80	Assoc	0	2824	284
81	13	M	PhD	68	Prof	69	81	Assoc	0	3137	313
82	13	M	PhD	68	Prof	69	82	Full	0	3322	185
83	13	M	PhD	68	Prof	69	83	Full	0	3505	183
84	13	M	PhD	68	Prof	69	84	Full	0	3742	237
85	13	M	PhD	68	Prof	69	85	Full	0	3742	0
86	13	M	PhD	68	Prof	69	86	Full	0	4641	899
87	13	M	PhD	68	Prof	69	87	Full	0	4874	233
88	13	M	PhD	68	Prof	69	88	Full	0	6675	1801
89	13	M	PhD	68	Prof	69	89	Full	0	7142	467
90	13	M	PhD	68	Prof	69	90	Full	0	7475	333
91	13	M	PhD	68	Prof	69	91	Full	0	7935	460
92	13	M	PhD	68	Prof	69	92	Full	0	8165	230
93	13	M	PhD	68	Prof	69	93	Full	0	8402	237
94	13	M	PhD	68	Prof	69	94	Full	0	8402	0
95	13	M	PhD	68	Prof	69	95	Full	0	8770	368
96	14	M	PhD	79	Other	92	92	Assoc	0	8646	NA
97	14	M	PhD	79	Other	92	93	Assoc	0	8770	124
98	14	M	PhD	79	Other	92	94	Full	0	9025	255
99	14	M	PhD	79	Other	92	95	Full	0	9477	452
100	15	M	PhD	72	Other	91	91	Full	0	4538	NA
101	15	M	PhD	72	Other	91	92	Full	0	4737	199
102	15	M	PhD	72	Other	91	93	Full	0	4875	138
103	15	M	PhD	72	Other	91	94	Full	0	4875	0
104	15	M	PhD	72	Other	91	95	Full	0	5088	213
105	16	M	PhD	73	Other	79	79	Assist	0	1889	NA
106	16	M	PhD	73	Other	79	80	Assist	0	2037	148
107	16	M	PhD	73	Other	79	81	Assist	0	2323	286
108	16	M	PhD	73	Other	79	82	Assoc	0	2425	102
109	16	M	PhD	73	Other	79	83	Assoc	0	3619	1194
110	16	M	PhD	73	Other	79	84	Assoc	0	3742	123
111	16	M	PhD	73	Other	79	85	Assoc	0	3742	0
112	16	M	PhD	73	Other	79	86	Assoc	0	4081	339
113	16	M	PhD	73	Other	79	87	Assoc	0	4286	205
114	16	M	PhD	73	Other	79	88	Assoc	0	4538	252
115	16	M	PhD	73	Other	79	89	Full	0	5290	752
116	16	M	PhD	73	Other	79	90	Full	0	6480	1190
117	16	M	PhD	73	Other	79	91	Full	0	6977	497
118	16	M	PhD	73	Other	79	92	Full	0	7180	203
119	16	M	PhD	73	Other	79	93	Full	0	7602	422
120	16	M	PhD	73	Other	79	94	Full	0	7602	0
121	16	M	PhD	73	Other	79	95	Full	0	7935	333
122	17	M	PhD	72	Other	72	76	Assist	0	1773	NA
123	17	M	PhD	72	Other	72	77	Assoc	0	2019	246
124	17	M	PhD	72	Other	72	78	Assoc	0	2176	157
125	17	M	PhD	72	Other	72	79	Assoc	0	2411	235
126	17	M	PhD	72	Other	72	80	Assoc	0	2552	141
127	17	M	PhD	72	Other	72	81	Assoc	0	2758	206
128	17	M	PhD	72	Other	72	82	Assoc	0	2838	80
129	17	M	PhD	72	Other	72	83	Full	0	2994	156
130	17	M	PhD	72	Other	72	84	Full	0	3197	203
131	17	M	PhD	72	Other	72	85	Full	0	3197	0
132	17	M	PhD	72	Other	72	86	Full	0	3293	96
133	17	M	PhD	72	Other	72	87	Full	0	3458	165
134	17	M	PhD	72	Other	72	88	Full	0	3877	419
135	17	M	PhD	72	Other	72	89	Full	0	4520	643
136	17	M	PhD	72	Other	72	90	Full	0	4731	211
137	17	M	PhD	72	Other	72	91	Full	0	5168	437
138	17	M	PhD	72	Other	72	92	Full	0	5318	150
139	17	M	PhD	72	Other	72	93	Full	0	5394	76
140	17	M	PhD	72	Other	72	94	Full	0	5394	0
141	17	M	PhD	72	Other	72	95	Full	0	5472	78
142	18	M	PhD	67	Prof	69	76	Assoc	0	2180	NA
143	18	M	PhD	67	Prof	69	77	Assoc	0	1915	-265
144	18	M	PhD	67	Prof	69	79	Full	0	2610	695
145	18	M	PhD	67	Prof	69	81	Full	0	3178	568
146	18	M	PhD	67	Prof	69	82	Full	0	3365	187
147	18	M	PhD	67	Prof	69	83	Full	0	3550	185
148	18	M	PhD	67	Prof	69	84	Full	0	4013	463
149	18	M	PhD	67	Prof	69	85	Full	0	4013	0
150	18	M	PhD	67	Prof	69	86	Full	0	4908	895
151	18	M	PhD	67	Prof	69	87	Full	0	5155	247
152	18	M	PhD	67	Prof	69	88	Full	0	5305	150
153	18	M	PhD	67	Prof	69	89	Full	0	5756	451
154	18	M	PhD	67	Prof	69	90	Full	0	6025	269
155	18	M	PhD	67	Prof	69	91	Full	0	6305	280
156	18	M	PhD	67	Prof	69	92	Full	0	6581	276
157	18	M	PhD	67	Prof	69	93	Full	0	6772	191
158	18	M	PhD	67	Prof	69	94	Full	0	6772	0
159	18	M	PhD	67	Prof	69	95	Full	0	7069	297
160	19	M	PhD	79	Other	91	91	Assist	0	3221	NA
161	19	M	PhD	79	Other	91	92	Assist	0	3509	288
162	19	M	PhD	79	Other	91	93	Assist	0	3509	0
163	19	M	PhD	79	Other	91	94	Assoc	0	3611	102
164	19	M	PhD	79	Other	91	95	Assoc	0	4332	721
165	20	F	PhD	92	Arts	95	95	Assist	0	4231	NA
166	21	M	PhD	88	Arts	88	88	Assist	0	2913	NA
167	21	M	PhD	88	Arts	88	89	Assist	0	3029	116
168	21	M	PhD	88	Arts	88	90	Assist	0	3310	281
169	21	M	PhD	88	Arts	88	91	Assist	0	3564	254
170	21	M	PhD	88	Arts	88	92	Assist	0	3774	210
171	21	M	PhD	88	Arts	88	93	Assist	0	3883	109
172	21	M	PhD	88	Arts	88	94	Assoc	0	3996	113
173	21	M	PhD	88	Arts	88	95	Assoc	0	4171	175
174	22	M	PhD	93	Other	93	93	Assist	0	4676	NA
175	22	M	PhD	93	Other	93	94	Assist	0	4676	0
176	22	M	PhD	93	Other	93	95	Assist	0	4881	205
177	23	M	PhD	70	Other	70	76	Full	0	2601.818	NA
178	23	M	PhD	70	Other	70	77	Full	0	2990.411	388.593
179	23	M	PhD	70	Other	70	78	Full	0	3195.522	205.111
180	23	M	PhD	70	Other	70	79	Full	0	3556	360.478
181	23	M	PhD	70	Other	70	80	Full	0	3897	341
182	23	M	PhD	70	Other	70	81	Full	0	4358	461
183	23	M	PhD	70	Other	70	82	Full	0	4681	323
184	23	M	PhD	70	Other	70	84	Full	0	5199	518
185	23	M	PhD	70	Other	70	85	Full	0	5199	0
186	23	M	PhD	70	Other	70	86	Full	0	6730	1531
187	23	M	PhD	70	Other	70	87	Full	0	7067	337
188	23	M	PhD	70	Other	70	88	Full	0	7377	310
189	23	M	PhD	70	Other	70	89	Full	0	8122	745
190	23	M	PhD	70	Other	70	90	Full	0	8748	626
191	23	M	PhD	70	Other	70	91	Full	0	9420	672
192	23	M	PhD	70	Other	70	92	Full	0	9974	554
193	23	M	PhD	70	Other	70	93	Full	0	10411	437
194	23	M	PhD	70	Other	70	94	Full	0	10411	0
195	23	M	PhD	70	Other	70	95	Full	0	10867	456
196	24	M	PhD	76	Prof	83	83	Assoc	0	3985	NA
197	24	M	PhD	76	Prof	83	84	Assoc	0	4195	210
198	24	M	PhD	76	Prof	83	85	Assoc	0	4195	0
199	24	M	PhD	76	Prof	83	86	Full	0	5354	1159
200	24	M	PhD	76	Prof	83	87	Full	0	5623	269
201	24	M	PhD	76	Prof	83	88	Full	0	5953	330
202	24	M	PhD	76	Prof	83	89	Full	0	6462	509
203	24	M	PhD	76	Prof	83	90	Full	0	7583	1121
204	24	M	PhD	76	Prof	83	91	Full	0	8049	466
205	24	M	PhD	76	Prof	83	92	Full	0	8402	353
206	24	M	PhD	76	Prof	83	93	Full	0	8770	368
207	24	M	PhD	76	Prof	83	94	Full	0	8770	0
208	24	M	PhD	76	Prof	83	95	Full	0	9420	650
209	26	M	PhD	67	Other	71	76	Assoc	0	1908.772	NA
210	26	M	PhD	67	Other	71	77	Assoc	0	2097	188.228
211	26	M	PhD	67	Other	71	78	Assoc	0	2176	79
212	26	M	PhD	67	Other	71	79	Assoc	0	2454	278
213	26	M	PhD	67	Other	71	80	Assoc	0	2642	188
214	26	M	PhD	67	Other	71	81	Assoc	0	2838	196
215	26	M	PhD	67	Other	71	82	Assoc	0	2920	82
216	26	M	PhD	67	Other	71	83	Assoc	0	3081	161
217	26	M	PhD	67	Other	71	84	Assoc	0	3484	403
218	26	M	PhD	67	Other	71	85	Full	0	3586	102
219	26	M	PhD	67	Other	71	86	Full	0	4023	437
220	26	M	PhD	67	Other	71	87	Full	0	4225	202
221	26	M	PhD	67	Other	71	88	Full	0	4410	185
222	26	M	PhD	67	Other	71	89	Full	0	4718	308
223	26	M	PhD	67	Other	71	90	Full	0	4800	82
224	26	M	PhD	67	Other	71	91	Full	0	4881	81
225	26	M	PhD	67	Other	71	92	Full	0	4881	0
226	26	M	PhD	67	Other	71	93	Full	0	4951	70
227	26	M	PhD	67	Other	71	94	Full	0	4951	0
228	26	M	PhD	67	Other	71	95	Full	0	5022	71
229	28	M	PhD	92	Prof	93	93	Assist	0	3828	NA
230	28	M	PhD	92	Prof	93	94	Assist	0	3828	0
231	28	M	PhD	92	Prof	93	95	Assist	0	4292	464
232	29	M	PhD	80	Other	81	81	Assist	0	1985	NA
233	29	M	PhD	80	Other	81	85	Assist	0	3223	1238
234	29	M	PhD	80	Other	81	86	Assist	0	3341	118
235	29	M	PhD	80	Other	81	87	Assoc	0	3610	269
236	29	M	PhD	80	Other	81	88	Assoc	0	3715	105
237	29	M	PhD	80	Other	81	89	Assoc	0	4032	317
238	29	M	PhD	80	Other	81	90	Assoc	0	4281	249
239	29	M	PhD	80	Other	81	91	Assoc	0	4480	199
240	29	M	PhD	80	Other	81	92	Assoc	0	4676	196
241	29	M	PhD	80	Other	81	93	Assoc	0	4812	136
242	29	M	PhD	80	Other	81	94	Assoc	0	4812	0
243	29	M	PhD	80	Other	81	95	Assoc	0	5022	210
244	30	M	PhD	78	Other	87	87	Assoc	0	3873	NA
245	30	M	PhD	78	Other	87	88	Assoc	0	3986	113
246	30	M	PhD	78	Other	87	89	Assoc	0	4450	464
247	30	M	PhD	78	Other	87	90	Assoc	0	4933	483
248	30	M	PhD	78	Other	87	91	Full	0	5624	691
249	30	M	PhD	78	Other	87	92	Full	0	6040	416
250	30	M	PhD	78	Other	87	93	Full	0	6216	176
251	30	M	PhD	78	Other	87	94	Full	0	6216	0
252	30	M	PhD	78	Other	87	95	Full	0	6488	272
253	31	M	PhD	86	Other	90	90	Assist	0	4220	NA
254	31	M	PhD	86	Other	90	91	Assist	0	4292	72
255	31	M	PhD	86	Other	90	92	Assist	0	4416	124
256	31	M	PhD	86	Other	90	93	Assist	0	4610	194
257	31	M	PhD	86	Other	90	94	Assoc	0	4743	133
258	31	M	PhD	86	Other	90	95	Assoc	0	5022	279
259	32	M	PhD	91	Arts	95	95	Assist	0	3939	NA
260	34	M	PhD	86	Other	95	95	Assoc	0	8278	NA
261	35	M	PhD	64	Other	65	76	Full	1	3246	NA
262	35	M	PhD	64	Other	65	77	Full	1	3563.636	317.636
263	35	M	PhD	64	Other	65	78	Full	0	3672	108.364
264	35	M	PhD	64	Other	65	79	Full	0	4009	337
265	35	M	PhD	64	Other	65	80	Full	0	4276	267
266	35	M	PhD	64	Other	65	81	Full	0	4681	405
267	35	M	PhD	64	Other	65	82	Full	0	5006.061	325.061
268	35	M	PhD	64	Other	65	83	Full	0	5229	222.939
269	35	M	PhD	64	Other	65	84	Full	0	5504	275
270	35	M	PhD	64	Other	65	85	Full	0	5504	0
271	35	M	PhD	64	Other	65	86	Full	0	6002	498
272	35	M	PhD	64	Other	65	87	Full	0	6304	302
273	35	M	PhD	64	Other	65	88	Full	0	6394	90
274	35	M	PhD	64	Other	65	89	Full	0	6842	448
275	35	M	PhD	64	Other	65	90	Full	0	7162	320
276	35	M	PhD	64	Other	65	91	Full	0	7494	332
277	35	M	PhD	64	Other	65	92	Full	0	7712	218
278	35	M	PhD	64	Other	65	93	Full	0	7935	223
279	35	M	PhD	64	Other	65	94	Full	0	7935	0
280	35	M	PhD	64	Other	65	95	Full	0	8165	230
281	36	M	PhD	67	Prof	73	76	Assoc	1	2052	NA
282	36	M	PhD	67	Prof	73	77	Assoc	1	2296	244
283	36	M	PhD	67	Prof	73	78	Assoc	1	2501.333	205.333
284	36	M	PhD	67	Prof	73	79	Assoc	1	2850	348.667
285	36	M	PhD	67	Prof	73	80	Assoc	1	3153.333	303.333
286	36	M	PhD	67	Prof	73	81	Assoc	0	3500	346.667
287	36	M	PhD	67	Prof	73	82	Assoc	0	3517	17
288	36	M	PhD	67	Prof	73	83	Assoc	0	3764	247
289	36	M	PhD	67	Prof	73	84	Assoc	0	3962	198
290	36	M	PhD	67	Prof	73	85	Assoc	0	3962	0
291	36	M	PhD	67	Prof	73	86	Assoc	0	4081	119
292	36	M	PhD	67	Prof	73	87	Assoc	0	4285	204
293	36	M	PhD	67	Prof	73	88	Full	0	4603	318
294	36	M	PhD	67	Prof	73	89	Full	0	5068	465
295	36	M	PhD	67	Prof	73	90	Full	0	5617	549
296	36	M	PhD	67	Prof	73	91	Full	0	6135	518
297	36	M	PhD	67	Prof	73	92	Full	0	6313	178
298	36	M	PhD	67	Prof	73	93	Full	0	6404	91
299	36	M	PhD	67	Prof	73	94	Full	0	6404	0
300	36	M	PhD	67	Prof	73	95	Full	0	6684	280
301	37	F	PhD	93	Other	93	93	Assist	0	4112	NA
302	37	F	PhD	93	Other	93	94	Assist	0	4112	0
303	37	F	PhD	93	Other	93	95	Assist	0	4292	180
304	39	M	PhD	59	Prof	95	95	Full	0	14464	NA
305	40	M	PhD	62	Other	70	76	Full	0	2810	NA
306	40	M	PhD	62	Other	70	77	Full	0	3202	392
307	40	M	PhD	62	Other	70	78	Full	0	3434	232
308	40	M	PhD	62	Other	70	79	Full	0	3906	472
309	40	M	PhD	62	Other	70	80	Full	0	4169	263
310	40	M	PhD	62	Other	70	81	Full	0	4548	379
311	40	M	PhD	62	Other	70	82	Full	0	4548	0
312	40	M	PhD	62	Other	70	83	Full	0	4798	250
313	40	M	PhD	62	Other	70	84	Full	0	4981	183
314	40	M	PhD	62	Other	70	85	Full	0	4981	0
315	40	M	PhD	62	Other	70	86	Full	0	5431	450
316	40	M	PhD	62	Other	70	87	Full	0	5703	272
317	40	M	PhD	62	Other	70	88	Full	0	6039	336
318	40	M	PhD	62	Other	70	89	Full	0	6555	516
319	40	M	PhD	62	Other	70	90	Full	0	6861	306
320	40	M	PhD	62	Other	70	91	Full	0	7283	422
321	40	M	PhD	62	Other	70	92	Full	0	7388	105
322	40	M	PhD	62	Other	70	93	Full	0	7494	106
323	40	M	PhD	62	Other	70	94	Full	0	7494	0
324	40	M	PhD	62	Other	70	95	Full	0	7712	218
325	41	M	PhD	66	Other	66	76	Full	0	2171	NA
326	41	M	PhD	66	Other	66	77	Full	0	2482	311
327	41	M	PhD	66	Other	66	78	Full	0	2671	189
328	41	M	PhD	66	Other	66	79	Full	0	2986	315
329	41	M	PhD	66	Other	66	80	Full	0	3239	253
330	41	M	PhD	66	Other	66	81	Full	0	3619.403	380.403
331	41	M	PhD	66	Other	66	82	Full	0	3723	103.597
332	41	M	PhD	66	Other	66	83	Full	0	3928	205
333	41	M	PhD	66	Other	66	84	Full	0	4195	267
334	41	M	PhD	66	Other	66	85	Full	0	4195	0
335	41	M	PhD	66	Other	66	86	Full	0	4321	126
336	41	M	PhD	66	Other	66	87	Full	0	4538	217
337	41	M	PhD	66	Other	66	88	Full	0	4669	131
338	41	M	PhD	66	Other	66	89	Full	0	4996	327
339	41	M	PhD	66	Other	66	90	Full	0	5229	233
340	41	M	PhD	66	Other	66	91	Full	0	5794	565
341	41	M	PhD	66	Other	66	92	Full	0	6135	341
342	41	M	PhD	66	Other	66	93	Full	0	6404	269
343	41	M	PhD	66	Other	66	94	Full	0	6404.478	0.478000000000065
344	41	M	PhD	66	Other	66	95	Full	0	7361	956.522
345	42	M	PhD	88	Prof	88	88	Assist	0	4603	NA
346	42	M	PhD	88	Prof	88	89	Assist	0	4651	48
347	42	M	PhD	88	Prof	88	90	Assist	0	5229	578
348	42	M	PhD	88	Prof	88	91	Assist	0	5631	402
349	42	M	PhD	88	Prof	88	92	Assist	0	5878	247
350	42	M	PhD	88	Prof	88	93	Assoc	0	6223	345
351	42	M	PhD	88	Prof	88	94	Assoc	0	6223	0
352	42	M	PhD	88	Prof	88	95	Assoc	0	6684	461
353	44	F	PhD	95	Other	95	95	Assist	0	4292	NA
354	45	F	PhD	69	Arts	83	83	Assist	0	2154	NA
355	45	F	PhD	69	Arts	83	84	Assist	0	2368	214
356	45	F	PhD	69	Arts	83	85	Assist	0	2368	0
357	45	F	PhD	69	Arts	83	86	Assist	0	2735	367
358	45	F	PhD	69	Arts	83	87	Assist	0	2872	137
359	45	F	PhD	69	Arts	83	88	Assist	0	2955	83
360	45	F	PhD	69	Arts	83	89	Assoc	0	3596	641
361	45	F	PhD	69	Arts	83	90	Assoc	0	3711	115
362	45	F	PhD	69	Arts	83	91	Assoc	0	4053	342
363	45	F	PhD	69	Arts	83	92	Assoc	0	4171	118
364	45	F	PhD	69	Arts	83	93	Assoc	0	4231	60
365	45	F	PhD	69	Arts	83	94	Assoc	0	4231	0
366	45	F	PhD	69	Arts	83	95	Assoc	0	4353	122
367	46	M	PhD	77	Arts	87	87	Assist	0	3361	NA
368	46	M	PhD	77	Arts	87	88	Assist	0	3361	0
369	46	M	PhD	77	Arts	87	89	Assoc	0	4269	908
370	46	M	PhD	77	Arts	87	90	Assoc	0	4405	136
371	46	M	PhD	77	Arts	87	91	Assoc	1	4610	205
372	46	M	PhD	77	Arts	87	92	Assoc	1	4812	202
373	46	M	PhD	77	Arts	87	93	Full	1	5242	430
374	46	M	PhD	77	Arts	87	94	Full	0	5242	0
375	46	M	PhD	77	Arts	87	95	Full	0	5394	152
376	47	M	PhD	68	Other	68	76	Assoc	0	1838	NA
377	47	M	PhD	68	Other	68	77	Assoc	0	2096	258
378	47	M	PhD	68	Other	68	78	Assoc	0	2278.788	182.788
379	47	M	PhD	68	Other	68	79	Assoc	0	2540	261.212
380	47	M	PhD	68	Other	68	80	Assoc	0	2732	192
381	47	M	PhD	68	Other	68	81	Assoc	0	2962	230
382	47	M	PhD	68	Other	68	82	Assoc	0	2962	0
383	47	M	PhD	68	Other	68	83	Assoc	0	3125	163
384	47	M	PhD	68	Other	68	84	Full	0	3586	461
385	47	M	PhD	68	Other	68	85	Full	0	3586	0
386	47	M	PhD	68	Other	68	86	Full	0	4023	437
387	47	M	PhD	68	Other	68	87	Full	0	4225	202
388	47	M	PhD	68	Other	68	88	Full	0	4347	122
389	47	M	PhD	68	Other	68	89	Full	0	4718	371
390	47	M	PhD	68	Other	68	90	Full	0	4939	221
391	47	M	PhD	68	Other	68	91	Full	0	5095	156
392	47	M	PhD	68	Other	68	92	Full	0	5168	73
393	47	M	PhD	68	Other	68	93	Full	0	5318	150
394	47	M	PhD	68	Other	68	94	Full	0	5318	0
395	47	M	PhD	68	Other	68	95	Full	0	5712	394
396	48	M	PhD	56	Other	90	90	Full	0	11155	NA
397	48	M	PhD	56	Other	90	91	Full	0	11840	685
398	48	M	PhD	56	Other	90	92	Full	0	12184	344
399	48	M	PhD	56	Other	90	93	Full	0	12537	353
400	48	M	PhD	56	Other	90	94	Full	0	12537	0
401	48	M	PhD	56	Other	90	95	Full	0	13086	549
402	49	M	PhD	71	Other	73	76	Assist	0	1683	NA
403	49	M	PhD	71	Other	73	77	Assist	0	1828	145
404	49	M	PhD	71	Other	73	78	Assoc	0	2019	191
405	49	M	PhD	71	Other	73	79	Assoc	0	2314.925	295.925
406	49	M	PhD	71	Other	73	80	Assoc	0	2552	237.075
407	49	M	PhD	71	Other	73	81	Assoc	0	2798	246
408	49	M	PhD	71	Other	73	82	Assoc	0	2798	0
409	49	M	PhD	71	Other	73	83	Assoc	0	2952	154
410	49	M	PhD	71	Other	73	84	Assoc	0	3243	291
411	49	M	PhD	71	Other	73	85	Assoc	0	3243	0
412	49	M	PhD	71	Other	73	86	Assoc	0	3537	294
413	49	M	PhD	71	Other	73	87	Full	0	3822	285
414	49	M	PhD	71	Other	73	88	Full	0	4047	225
415	49	M	PhD	71	Other	73	89	Full	0	4456	409
416	49	M	PhD	71	Other	73	90	Full	0	4664	208
417	49	M	PhD	71	Other	73	91	Full	0	5095	431
418	49	M	PhD	71	Other	73	92	Full	0	5242	147
419	49	M	PhD	71	Other	73	93	Full	0	5318	76
420	49	M	PhD	71	Other	73	94	Full	0	5318	0
421	49	M	PhD	71	Other	73	95	Full	0	5472	154
422	51	M	PhD	58	Other	62	76	Full	0	2685	NA
423	51	M	PhD	58	Other	62	77	Full	0	2888	203
424	51	M	PhD	58	Other	62	78	Full	0	3021	133
425	51	M	PhD	58	Other	62	79	Full	0	3297.015	276.015
426	51	M	PhD	58	Other	62	80	Full	0	3597	299.985
427	51	M	PhD	58	Other	62	81	Full	0	3943	346
428	51	M	PhD	58	Other	62	82	Full	0	4000	57
429	51	M	PhD	58	Other	62	83	Full	0	4220	220
430	51	M	PhD	58	Other	62	84	Full	0	4505	285
431	51	M	PhD	58	Other	62	85	Full	0	4505	0
432	51	M	PhD	58	Other	62	86	Full	0	4641	136
433	51	M	PhD	58	Other	62	87	Full	0	4874	233
434	51	M	PhD	58	Other	62	88	Full	0	4944	70
435	51	M	PhD	58	Other	62	89	Full	0	5366	422
436	51	M	PhD	58	Other	62	90	Full	0	5617	251
437	51	M	PhD	58	Other	62	91	Full	0	5878	261
438	51	M	PhD	58	Other	62	92	Full	0	6048	170
439	51	M	PhD	58	Other	62	93	Full	0	6223	175
440	51	M	PhD	58	Other	62	94	Full	0	6223	0
441	51	M	PhD	58	Other	62	95	Full	0	6496	273
442	52	M	PhD	81	Other	89	89	Assist	0	5068	NA
443	52	M	PhD	81	Other	89	90	Assist	0	5155	87
444	52	M	PhD	81	Other	89	91	Assoc	0	6048	893
445	52	M	PhD	81	Other	89	92	Assoc	0	6496	448
446	52	M	PhD	81	Other	89	93	Assoc	0	6977	481
447	52	M	PhD	81	Other	89	94	Assoc	0	6977	0
448	52	M	PhD	81	Other	89	95	Assoc	0	7283	306
449	53	M	PhD	66	Other	66	76	Full	0	2232	NA
450	53	M	PhD	66	Other	66	77	Full	0	2460	228
451	53	M	PhD	66	Other	66	78	Full	0	2585	125
452	53	M	PhD	66	Other	66	79	Full	0	2880.597	295.597
453	53	M	PhD	66	Other	66	80	Full	0	3253	372.403
454	53	M	PhD	66	Other	66	82	Full	1	3568	315
455	53	M	PhD	66	Other	66	83	Full	1	4403	835
456	53	M	PhD	66	Other	66	84	Full	1	4771	368
457	53	M	PhD	66	Other	66	85	Full	1	4771	0
458	53	M	PhD	66	Other	66	86	Full	1	5431	660
459	53	M	PhD	66	Other	66	87	Full	1	5703	272
